SMILES,logk
COc1ccc(C(C)O)cc1OC,2.507855872
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5.301029996
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,6.255272505
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,8.662757832
ON1CCCCC1,4.602059991
c1ccc(N2CCNCC2)cc1,7.599883072
[O-]c1c(Cl)cc(Cl)cc1Cl,6.72427587
CC1=C(C)C(C)C(C)([O-])C(C)=C1C,9.602059991
Cc1cc(C)c(O)c(C)c1,3.591064607
Cc1cc(C)c([O-])c(C)c1,9.602059991
[O-]c1ccc(Cl)cc1Cl,7.342422681
Cc1ccc(O)c(C)c1,2.954242509
Cc1ccc([O-])c(C)c1,9.322219295
CC1=CCC(C)C=C1C,7.832508913
CC1=CC(C)C(C)(O)C=C1C,2.0
Cc1ccc(C)c(O)c1,2.0
Cc1ccc(C)c([O-])c1,8.832508913
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,3.602059991
NCCO,-1.853871964
O=C([O-])c1ccccc1O,5.739686777
O=C([O-])c1ccccc1[O-],7.77815125
Oc1ccccc1Cl,0.176091259
[O-]c1ccccc1Cl,7.544068044
Oc1ccccc1C1CCCCC1,0.447158031
[O-]c1ccccc1O,9.301029996
COc1ccccc1O,3.0
COc1ccccc1[O-],9.079181246
Cc1ccccc1O,1.204119983
[O-]c1cccc(O)c1,8.047462937
COc1cccc([O-])c1,7.69019608
Cc1cccc(O)c1,0.380211242
CC(C)(C)c1ccc(O)cc1,0.910672999
CC(C)(C)c1ccc([O-])cc1,8.176091259
CC(=O)c1ccc(O)cc1,5.903089987
[O-]c1ccc(Br)cc1,7.431363764
O=C([O-])c1ccc(O)cc1,6.77815125
O=C([O-])c1ccc([O-])cc1,6.77815125
[O-]c1ccc(Cl)cc1,7.544068044
CCc1ccc(O)cc1,1.698970004
CCc1ccc([O-])cc1,8.903089987
Oc1ccc(O)cc1,7.573799459
O=Cc1ccc(O)cc1,6.77815125
[O-]c1ccc(O)cc1,7.786073491
COc1ccc([O-])cc1,9.185296771
Cc1ccc([O-])cc1,8.664002229
O=[N+]([O-])c1ccc(O)cc1,-0.853871964
O=[N+]([O-])c1ccc([O-])cc1,3.602059991
C=Cc1ccc(S(=O)(=O)O)cc1,-1.886056648
O=S(=O)([O-])c1ccc([O-])cc1,6.0
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,3.176091259
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,5.113943352
Nc1ccccc1,-0.958607315
Cc1cc(=O)n(-c2ccccc2)n1C,-0.318758763
Nc1ccc(-c2ccc(N)cc2)cc1,-0.242528052
NCc1ccccc1,-1.408935393
CC(C)(C)NCc1ccccc1,2.447158031
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2S(=O)(=O)O)cc1,2.071513805
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2S(=O)(=O)O)cc1,1.62838893
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2S(=O)(=O)O)cc1,1.480006943
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,5.499687083
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.698970004
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2.166726056
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1.679427897
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.591064607
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.0
O=C([O-])c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2.278753601
N[C@@H](CS)C(=O)O,2.763427994
N[C@@H](CS)C(=O)[O-],8.012837225
[O-]c1ccccc1[O-],9.447158031
c1ccc(CNCc2ccccc2)cc1,0.919078092
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3.733388749
CCNCC,3.0
CC(C)NC(C)C,2.544068044
CN(C)CCO,3.986771734
NC(CSSCC(N)C(=O)O)C(=O)O,0.84509804
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,2.521138084
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.967547976
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.06069784
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,2.330413773
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.217483944
CCS,4.598790507
CCS,1.397940009
CCS,2.641176547
CCS,3.62355939
NC(CCC(=O)NC(CS)C(=O)NCC(=O)[O-])C(=O)[O-],8.146128036
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,2.653212514
N[C@@H](Cc1c[nH]cn1)C(=O)O,-1.26760624
[O-]c1ccc([O-])cc1,9.812913357
CC(C)C1C=Cc2nc3ccccc3nc2C1=O,1.041392685
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,0.146128036
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,0.875061263
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,2.281033367
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,-0.698970004
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,1.507855872
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,2.122215878
CNC(=O)Oc1cc(C)c(SC)c(C)c1,-0.251811973
CN,-0.301029996
COC(=O)c1ccc(O)cc1,1.925827575
C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,0.0
CN(C)Cc1cccc(Cl)c1,4.204119983
COc1cccc(CN(C)C)c1,4.462397998
CN(C)Cc1ccc(Cl)cc1,4.301029996
CN(C)Cc1ccc(F)cc1,4.301029996
CN(C)Cc1ccc([N+](=O)[O-])cc1,3.653212514
CN(C)c1ccccc1,7.812913357
CN(C)Cc1ccccc1,4.431363764
CN(C)C(C)(C)C,5.361727836
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,7.880813592
CC(C)NCc1ccccc1,0.959041392
CN1CCCCC1,4.939519253
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.655138435
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCNCC3)cc21,2.245512668
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-1.301029996
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,2.079181246
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0.431363764
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-0.251811973
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,2.7355989
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2.719331287
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.491361694
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2.698100546
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.361727836
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1.797267541
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,6.093421685
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,-0.075720714
Oc1ccccc1,-0.435293339
[O-]c1ccccc1,7.58415085
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,0.079181246
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,1.198657087
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-2.0
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-0.522878745
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-0.698970004
CCn1cc(C(=O)[O-])c(=O)c2cnc(N3CCNCC3)nc21,1.387389826
C1CCNCC1,3.380211242
O=C(O)[C@@H]1CCCN1,-1.468521083
CCCOC(=O)c1ccc(O)cc1,1.920123326
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,4.146128036
C=Cc1ccccc1,-1.935542011
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,1.544068044
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,2.975431809
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.954242509
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,3.897627091
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1.681241237
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.993876915
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,4.849419414
CCN(CC)CC,5.301029996
CN(C)C,5.9445
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,4.531478917
N[C@@H](Cc1ccc(O)cc1)C(=O)O,5.184607929
N[C@@H](Cc1ccc(O)cc1)C(=O)O,8.255272505
NC(Cc1ccc([O-])cc1)C(=O)O,8.255272505
CC1=C(C)C(C)C(C)(O)C(C)=C1C,3.591064607
Oc1ccc(Cl)cc1Cl,-0.301029996
O=C(O)c1ccccc1O,1.662757832
COc1cc(C=O)ccc1[O-],8.255272505
Cc1ccccc1[O-],8.643452676
Oc1cccc(O)c1,3.488077002
[O-]c1cccc([O-])c1,7.681241237
Cc1cccc([O-])c1,7.945349643
CC(=O)c1ccc([O-])cc1,5.903089987
COc1ccc(O)cc1,4.397940009
Cc1ccc(O)cc1,3.102783288
c1ccc(C2CCNCC2)cc1,2.012837225
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0.89181612
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1.230448921
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2.230448921
N[C@@H](CS)C(=O)O,6.919424545
CNC,2.698970004
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1,2.5289167
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0.146128036
CCS,6.596597096
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,5.672097858
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,-0.958607315
CNC(=O)Oc1cc(C)c(SC)c(C)c1,0.653212514
CN(C)Cc1cccc([N+](=O)[O-])c1,3.792391689
COc1ccc(CN(C)C)cc1,4.69019608
Cc1ccc(CN(C)C)cc1,4.544068044
CNCc1ccc(OC)cc1,2.431363764
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.271841607
c1ccc(N2CCOCC2)cc1,5.409933123
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2.536558443
[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.146128036
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,1.350248018
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,3.244275358
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,2.972665592
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,3.861850947
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3CC12,6.100370545
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,4.531478917
