SMILES,logk
CSCC(=O)[O-],8.777789036
CN1CCCCC1,4.903089987
Cc1ccccc1NC(=N)Nc1ccccc1C,7.414973348
N=C(Nc1ccccc1)Nc1ccccc1,6.612783857
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1.583983407
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,5.599394502
Cn1ccnc1S,7.0
Oc1c(Cl)cc(Cl)cc1Cl,1.108565024
[O-]c1c(Cl)cc(Cl)cc1Cl,1.10720997
[O-]c1ccc(Br)cc1Br,2.477121255
Oc1ccc(Cl)cc1Cl,2.481442629
[O-]c1c(Br)cccc1Br,2.176091259
[O-]c1c(Cl)cccc1Cl,2.28780173
CCC(N)C(=O)O,7.77815125
[O-]c1ccccc1Br,3.414973348
Oc1ccccc1Cl,3.383815366
O=C(O)CCc1ccc(O)cc1,1.602059991
O=C(O)CCSSCCC(=O)O,5.204119983
CC(CN)C(=O)O,7.854306042
CC(N)CC(=O)O,7.589949601
C[N+](C)=c1ccc2nc3c(ccc4ccccc43)oc-2c1,2.096910013
Oc1cccc(O)c1,6.133538908
Oc1cc(O)c(Cl)cc1Cl,4.506505032
[O-]c1cc(O)c(Cl)cc1Cl,6.139046257
Oc1ccc(Cl)c(O)c1,5.155336037
[O-]c1ccc(Cl)c(O)c1,5.155336037
Cc1cc(O)cc(O)c1,5.71432976
[O-]c1cccc(O)c1,7.097118374
[O-]c1cc([O-])c(Cl)cc1Cl,7.771587481
[O-]c1cc(O)ccc1Cl,7.804139432
[O-]c1ccc(Cl)c([O-])c1,7.828015064
Cc1cc([O-])cc([O-])c1,8.62324929
[O-]c1cccc([O-])c1,8.06069784
NCCCC(=O)O,7.878521796
[O-]c1ccc(Br)cc1,3.361727836
Oc1ccc(Cl)cc1,3.418073408
[O-]c1ccc(Cl)cc1,3.336459734
N#Cc1ccc(O)cc1,1.927370363
O=C(O)Cc1c[nH]cn1,5.079181246
Oc1ccc(I)cc1,3.303196057
Cc1ccc(O)cc1,4.432969291
Cc1ccc([O-])cc1,4.432969291
CCCCCCCCCc1ccc(O)cc1,0.117271296
CCCCCCCCCc1ccc([O-])cc1,4.875061263
CC[N+](CC)=c1ccc2nc3c(cc(N)c4ccccc43)oc-2c1,3.710963119
CC(=N)N,2.113943352
CC(=O)Nc1ccc([O-])cc1,3.84509804
CC(N)C(=O)O,4.73239376
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc([O-])cc3)C(=O)N2[C@H]1C(=O)O,5.579783597
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc([O-])cc3)C(=O)N2[C@H]1C(=O)[O-],7.301029996
CC1(C)S[C@@H]2[C@H](NC(=O)C([NH3+])c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,4.414973348
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,4.414973348
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-1.886056648
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,4.544068044
NC(=O)C(Cl)Br,1.460730839
N#CC(Cl)Br,-1.045757491
NC(=O)C(Cl)(Cl)Br,2.074125374
N#CC(Cl)(Cl)Br,0.577236408
NC(=O)C(Br)I,1.09594384
CCOC(=O)n1ccn(C)c1=S,6.84509804
NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,5.204119983
NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,5.079181246
NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,5.255272505
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,5.397940009
NC(=O)C(Cl)I,1.160535223
C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c([O-])ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,5.580924976
C[NH+](C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,7.238046103
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,5.880813592
N[C@@H](CS)C(=O)O,8.817741873
NC(=O)C(Br)Br,1.356450803
N#CC(Br)Br,-1.36878178
NC(=O)C(Cl)(Br)Br,2.125842576
CCN(CC)CCO,5.146128036
CN(C)CCO,4.477121255
O=C([O-])C(O)SSC(O)C(=O)[O-],5.342422681
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,2.707570176
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,5.698970004
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,0.683047038
C[C@]12CC[C@@H]3c4ccc([O-])cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,5.551449998
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0.572871602
CCNC(=N)N,1.278753601
CCN,8.29666519
CCN(CCO)CCO,4.204119983
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,8.093421685
NCC(=O)O,7.859738566
NCC(=O)O,5.0
NCC(N)=O,6.633468456
CC(C)CN,8.195899652
C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(=O)CC(C3(C)OC(=O)c4c([O-])ccc(Cl)c43)CC12,4.037426498
C[NH+](C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(=O)CC(C3(C)OC(=O)c4c(O)ccc(Cl)c43)CC12,7.559906625
CC(C)N,8.274157849
CN1/C(=C(/O)Nc2ccccn2)C(=O)c2sc(Cl)cc2S1(=O)=O,3.633468456
Cc1cnc(N/C(O)=C2/C(=O)c3ccccc3S(=O)(=O)N2C)s1,4.230448921
CSCC[C@H](N)C(=O)O,8.188288479
CN,8.447158031
CN(CCO)CCO,3.806179974
COCCc1ccc(OCC(O)CNC(C)C)cc1,-1.853871964
C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,2.079181246
CC1(C)CC(=O)C(Cl)C(=O)C1,6.556302501
NC(=O)CI,0.605065501
CN(C)CC(=O)O,4.698970004
