SMILES,logk
O.c1cnc2c(c1)ccc1cccnc12,-0.9395
C=C(Cl)Cl,2.041392685
C=C(Cl)Cl,2.041392685
CC=C(Cl)Cl,3.27073931
Cc1cccc(C)c1C,2.602059991
Cc1cccc(C)c1C,2.602059991
BrC=CBr,3.176091259
COc1cc(OC)cc(OC)c1,5.973127854
Cc1cc(C)cc(C)c1,2.84509804
Cc1cc(C)cc(C)c1,2.84509804
CC(Cl)C=CCl,-2.280668713
O=C1C=CC(=O)C=C1,3.397940009
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,6.883533917
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,6.883533917
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,9.562292864
C[C@]12CC[C@@H]3c4ccc([O-])cc4CC[C@H]3[C@@H]1CC[C@@H]2O,9.577368666
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,6.447802102
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,6.447802102
c1ccc2[nH]nnc2c1,3.288249226
c1ccc2[nH]nnc2c1,1.5132176
c1ccc2[nH]nnc2c1,1.555470169
c1ccc2[nH]nnc2c1,1.309630167
c1ccc2[nH]nnc2c1,3.331022171
c1ccc2[nH]nnc2c1,1.555470169
c1ccc2[nH]nnc2c1,2.599883072
c1ccc2[nH]nnc2c1,1.84
C=CCC(O)CC,5.26
C=CCC(O)CC,2.301029996
CN1CCCC1,6.301029996
Oc1cccc2ccccc12,6.816734228
CC(O)COc1ccccc1,2.505149978
CC(O)COc1ccccc1,2.51
CCCO,-0.193820026
CCCO,-0.431798276
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.177132317
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.908308048
Cc1cccc(O)c1C,4.320146286
Oc1c(Cl)cc(Cl)cc1Cl,4.498310554
Oc1c(Cl)cc(Cl)cc1Cl,3.977174676
Oc1c(Cl)cc(Cl)cc1Cl,4.676483269
Oc1c(Cl)cc(Cl)cc1Cl,4.31567652
[O-]c1c(I)cc(I)cc1I,6.832508913
Oc1ccc(Cl)cc1Cl,3.275541688
Oc1ccc(Cl)cc1Cl,3.7084209
Oc1ccc(Cl)cc1Cl,4.62493361
Oc1ccc(Cl)cc1Cl,3.962227231
O=C(O)COc1ccc(Cl)cc1Cl,1.340444115
O=C(O)COc1ccc(Cl)cc1Cl,3.0
Oc1cc(Cl)ccc1Cl,4.835690571
Oc1cc(Cl)ccc1Cl,6.889301703
Cc1ccc(C)c(O)c1,7.340444115
Cc1cccc(C)c1O,4.217483944
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-0.955779273
Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],5.161368002
CCC(C)=O,-1.15490196
O=C([O-])c1ccccc1O,4.477121255
O=C([O-])c1ccccc1O,4.477121255
Oc1ccccc1Cl,6.558708571
Oc1ccccc1Cl,3.041392685
Oc1ccccc1Cl,2.411701342
[O-]c1ccccc1Cl,8.301029996
CCNc1nc(Cl)nc(NCC)n1,0.94
CCNc1nc(Cl)nc(NCC)n1,0.523746467
CCNc1nc(Cl)nc(NCC)n1,0.939519253
CCNc1nc(Cl)nc(NCC)n1,1.075546961
CCNc1nc(Cl)nc(NCC)n1,0.681241237
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0.184691431
CNc1nc(Cl)nc(NC)n1,0.397940009
CCNc1nc(N)nc(Cl)n1,0.50242712
CCNc1nc(Cl)nc(NC(C)C)n1,1.113943352
CCNc1nc(Cl)nc(NC(C)C)n1,1.210624783
CCNc1nc(Cl)nc(NC(C)C)n1,1.421603927
CCNc1nc(Cl)nc(NC(C)C)n1,1.210624783
CCNc1nc(Cl)nc(NC(C)C)n1,0.875061263
CCNc1nc(Cl)nc(NC(C)C)n1,1.210624783
CCNc1nc(Cl)nc(NC(C)C)n1,1.210624783
CCNc1nc(Cl)nc(NC(C)C)n1,0.897627091
CCNc1nc(Cl)nc(NC(C)C)n1,1.210624783
CCNc1nc(Cl)nc(NC(C)C)n1,1.380211242
CCNc1nc(Cl)nc(NC(C)(C)C)n1,0.94792362
Nc1ccccc1F,6.862131379
Oc1ccccc1O.Oc1ccccc1O,7.334453751
COc1nccnc1C(C)C,1.700703717
Cc1ccccc1O,3.141369421
Cc1ccccc1O,3.141369421
O=Nc1ccc2ccccc2c1O,-0.5255
CC(C)O,0.177530196
CC(C)O,0.48
CC(C)O,0.278753601
C=CC(Cl)CCl,-1.581698709
O=C(O)c1ccc(O)c(O)c1,6.25
Cc1ccc(O)cc1C,4.922206277
Nc1cccc(O)c1,7.217483944
C=CCBr,-1.15490196
Cc1cccc(N)c1,7.274157849
Oc1cccc(Cl)c1,7.025305865
Nc1cccc(Cl)c1,6.894316063
Nc1cccc(F)c1,6.909556029
Oc1cccc(O)c1,4.922766059
Oc1cccc(O)c1.Oc1cccc(O)c1,5.988558957
Nc1cccc(I)c1,6.870403905
COc1cccc(O)c1,6.344392274
Cc1cccc(O)c1,4.180325015
Cc1cccc(O)c1.Cc1cccc(O)c1,6.629409599
Cc1c[nH]c2ccccc12,5.728770629
Cc1c[nH]c2ccccc12,5.753583059
Cc1c[nH]c2ccccc12,5.692846919
Cc1c[nH]c2ccccc12,5.643452676
Cc1c[nH]c2ccccc12,5.716837723
Cc1c[nH]c2ccccc12,5.725911632
O=[N+]([O-])c1cccc(O)c1,6.167317335
Nc1cccc([N+](=O)[O-])c1,6.376576957
Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],5.255272505
Cc1cc(Cl)ccc1OCC(=O)O,1.678518379
Cc1cc(Cl)ccc1OCC(=O)O,1.068927612
Oc1ccc(Cl)cc1,3.386855529
Oc1ccc(Cl)cc1,3.200303183
Oc1ccc(Cl)cc1,6.82672252
Oc1ccc(Cl)cc1,2.77815125
Oc1ccc(Cl)cc1,4.282912507
Cc1cc(Cl)ccc1O,5.64
COc1ccc(Cl)cc1O,4.635714907
COc1ccc(Cl)cc1O,5.140542609
COc1ccc(Cl)cc1O,4.592831593
Nc1ccc(Cl)cc1,6.581580687
Nc1ccc(F)cc1,7.089905111
Oc1ccc(O)cc1.Oc1ccc(O)cc1,6.876794976
Oc1ccc(O)cc1,6.255272505
Oc1ccc(O)cc1,6.129220024
Oc1ccc(O)cc1,6.129220024
Nc1ccc(I)cc1,6.965671971
COc1ccc(C=CC(=O)O)cc1,5.113943352
COc1ccc(/C=C/C(=O)[O-])cc1,5.832508913
Cc1ccc(B(O)O)c2ccccc12,3.556302501
COc1ccc(O)cc1,7.214843848
Cc1ccc(O)cc1,4.398172701
Cc1ccc(O)cc1,6.041392685
Cc1ccc(O)cc1.Cc1ccc(O)cc1,6.865103975
Cc1cccc2[nH]nnc12,2.892094603
O=[N+]([O-])c1ccc([O-])cc1,7.204119983
O=C([O-])/C=C/c1ccc([N+](=O)[O-])cc1,5.079181246
O=[N+]([O-])c1ccc(O)cc1,6.6599162
CCCCCCCCCc1ccc([O-])cc1,9.834420704
Nc1ccc([N+](=O)[O-])cc1,5.112654641
CS(=O)(=O)c1ccc(N)cc1,4.672097858
Cc1ccc(Cl)cc1CN,-0.653
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,3.2793768
c1cc2c3c(cccc3c1)CC2,5.26
c1cc2c3c(cccc3c1)CC2,5.033423755
CC1=CC(=O)N=S(=O)([O-])O1,1.944482672
CC(=O)Nc1ccc(O)cc1,4.999724954
CC(=O)Nc1ccc(O)cc1,6.409933123
CC(=O)Nc1ccc(O)cc1,5.113943352
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,-0.602059991
CC(=O)O,-1.522878745
CCOCN(C(=O)CCl)c1c(C)cccc1CC,0.378397901
CC(C)=O,-1.494850022
CC(C)=NO,2.409425869
c1ccc2nc3ccccc3cc2c1,1.57054294
C=CC(N)=O,5.0
C=CC(=O)O,4.447158031
C=CC(=O)[O-],5.204119983
C=CC#N,2.94
CCOC(=O)CCCCC(=O)O,-2.522878745
CCc1cccc(CC)c1N(COC)C(=O)CCl,0.397940009
CCc1cccc(CC)c1N(COC)C(=O)CCl,0.579783597
C[C@H](N)C(=O)O,4.880813592
CNC(=O)O/N=C/C(C)(C)SC,5.65
C=CCO,-0.677780705
C=CCc1ccccc1,5.079181246
C=CCc1ccccc1,5.079181246
CC(N)C(=O)O,2.806179974
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.O.O.O,7.079181246
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.O.O.O,3.361727836
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.O.O.O,6.290402651
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.O.O.O,4.672097858
CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,4.013470814
Nc1ccccc1,2.606767847
Nc1ccccc1,7.146128036
Nc1ccccc1,7.146128036
COc1ccccc1,2.462397998
COc1ccccc1,2.462397998
c1ccc2cc3ccccc3cc2c1,4.43
Cc1cc(=O)n(-c2ccccc2)n1C,5.79
N=C(N)NCCC[C@H](N)C(=O)O,4.755874856
N=C(N)NCCC[C@H](N)C(=O)O,2.45
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,4.740362689
N[C@@H](CC(=O)[O-])C(=O)[O-],4.612783857
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,3.974436837
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,3.974436837
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,6.77815125
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,2.443245363
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,5.041392685
NCCC(=O)O,2.491361694
O=S(=O)([O-])c1ccccc1,-1.638272164
O=S1N=Cc2ccccc21,6.620136055
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,4.521138084
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,3.88
O=C([O-])c1ccccc1,0.079181246
O=C([O-])c1ccccc1,0.079181246
c1ccc2scnc2c1,0.361727836
CC1=C(C=O)C(C)(C)CCC1,3.589949601
CNC[C@H](N)C(=O)O,9.558708571
CNC[C@H](N)C(=O)O,6.274157849
CNC[C@H](N)C(=O)O,9.450249108
CNC[C@H](N)C(=O)O,10.57054294
CNC[C@H](N)C(=O)O,7.755874856
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,2.803803993
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,2.803803993
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,2.803803993
CC(=O)/C=C/C1=C(C)CCCC1(C)C,5.204119983
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,6.035725861
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,6.035725861
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,5.064457989
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,4.973127854
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,4.049218023
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,9.204119983
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,6.035725861
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.Oc1ccccc1,4.225309282
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.[O-]c1ccccc1,9.045322979
Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,1.89
O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,0.728
N#Cc1cc(Br)c(O)c(Br)c1,2.715882851
C=C(O)CC,4.897627091
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,0.725911632
C=CC(C)O,4.897627091
C=CC(C)O,4.897627091
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,0.15
COc1ccc(O)c(C(C)(C)C)c1,6.52
CCCCOC(=O)c1ccc(O)cc1,6.46
CCCCOC(=O)c1ccc(O)cc1,9.139879086
CCCCOC(=O)c1ccc(O)cc1,5.643452676
