SMILES,logk
CCCCO,7.908485019
CN(C)C(=N)N,8.662757832
COc1cccc(OC)c1OC,9.903089987
COc1cccc(OC)c1OC,9.84509804
COc1ccc(OC)c(OC)c1,9.892094603
COc1ccc(OC)c(OC)c1,8.892094603
COc1ccc(OC)c(OC)c1,9.892094603
COc1ccccc1OC,9.698970004
COc1ccccc1OC,9.698970004
COc1cc(OC)cc(OC)c1,9.255272505
COc1cc(OC)cc(OC)c1,9.255272505
COc1cccc(OC)c1OC,8.255272505
COc1cccc(OC)c1,9.84509804
COc1cccc(OC)c1,9.84509804
C1COCOC1,7.53529412
COc1ccc(OC)cc1,9.857332496
COc1ccc(OC)cc1,9.857332496
C1COCCO1,7.204119983
C1COCCO1,7.611723308
C1COCCO1,7.86332286
C1COCCOCCOCCO1,8.361727836
C1COCCO1,8.431363764
C1COCCOCCOCCOCCO1,8.431363764
C1COCCOCCOCCOCCOCCO1,8.62324929
CCCCO,7.903089987
c1ccc2[nH]nnc2c1,8.990455969
CC(C)O,7.342422681
CCCCCCCO,8.397940009
CC(C)(C)CO,8.447158031
CCCCCCCCO,8.505149978
CCCCCCCCO,8.505149978
CCCCCO,8.113943352
CCCCCO,8.113943352
CCCO,7.770852012
CCCO,7.681241237
CCCO,7.770852012
CCC(O)CC,7.397940009
CC(C)(C)CO,7.397940009
COc1ccc(C(=O)[O-])c(OC)c1OC,9.397940009
COc1ccc(C(=O)[O-])c(OC)c1OC,9.397940009
COc1cccc(C(=O)[O-])c1OC,9.929418926
COc1cccc(C(=O)[O-])c1OC,9.929418926
CC(C)(O)C(C)(C)O,8.414973348
COc1cc(OC)c(C(=O)[O-])cc1OC,9.643452676
COc1cc(OC)c(C(=O)[O-])cc1OC,9.643452676
COc1nc(OC)nc(OC)n1,7.707570176
COc1cc(OC)c(C(=O)[O-])c(OC)c1,9.529213012
COc1cc(OC)c(C(=O)[O-])c(OC)c1,9.414973348
COc1ccc(C(=O)[O-])c(OC)c1,9.579783597
COc1ccc(C(=O)[O-])c(OC)c1,9.579783597
COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],8.025305865
O=C1NCNC(=O)N1,7.662757832
O=C1NCNC(=O)N1,7.662757832
O=C1NCNC(=O)N1,7.662757832
COc1cccc(OC)c1C(=O)[O-],9.397940009
COc1cccc(OC)c1C(=O)[O-],9.397940009
CCCCCCCO,6.414973348
O=S(=O)([O-])c1nc2ccccc2s1,9.176091259
Brc1ccccc1I,7.903089987
O=C([O-])c1ccccc1Br,8.939519253
Cc1ccccc1Br,9.361727836
O=C([O-])CC(=O)O,6.176091259
CCO,7.420682482
OCCCl,7.041392685
Cc1ccccc1Cl,9.230448921
FC(F)(F)c1ccccc1I,8.113943352
Cc1ccccc1I,7.84509804
COc1ccccc1C(=O)[O-],9.84509804
COc1ccccc1C(=O)[O-],9.84509804
COc1ccccc1C(=O)[O-],9.84509804
CC(C)(C)O,6.371873223
CC(C)(C)O,6.371873223
CC(C)(C)O,5.924279286
CC(C)O,8.113943352
CC(C)C,8.113943352
CC(C)C,8.113943352
CSc1nc2ccccc2s1,9.146128036
OCCOc1ccccc1,9.139879086
OCCCl,7.934498451
CC(C)O,7.913813852
CCN(CC)C(=O)c1cccc(C)c1,7.897627091
CC(C)O,7.913813852
CC(C)O,7.505149978
CC(C)O,7.929418926
CC(C)O,7.929418926
COc1cc(C(=O)[O-])cc(OC)c1OC,9.698970004
COc1cc(C(=O)[O-])cc(OC)c1OC,9.698970004
COc1cc(C(=O)[O-])cc(OC)c1OC,9.698970004
c1cnnnc1,7.707570176
COc1ccc(C(=O)[O-])cc1OC,9.653212514
COc1ccc(C(=O)[O-])cc1OC,9.653212514
COc1cc(OC)cc(C(=O)[O-])c1,9.643452676
COc1cc(OC)cc(C(=O)[O-])c1,9.643452676
COc1cc(OC)cc(C(=O)[O-])c1,9.643452676
Cc1cccc(Br)c1,9.230448921
Cc1cccc(Cl)c1,8.954242509
COc1cccc(C(=O)[O-])c1,9.880813592
COc1cccc(C(=O)[O-])c1,9.880813592
COc1cccc(C(=O)[O-])c1,9.880813592
Cc1c[nH]c2ccccc12,10.07918125
CCC(O)CC,8.204119983
CCC(O)CC,8.204119983
OCCc1ccc(O)cc1,9.238046103
CC(=O)c1ccc(C(=O)[O-])cc1,9.301029996
O=C([O-])c1ccc(Br)cc1,9.0
Cc1ccc(Br)cc1,9.0
O=C(O)c1ccc(Cl)cc1,8.556302501
O=C([O-])c1ccc(Cl)cc1,8.556302501
Cc1ccc(Cl)cc1,9.041392685
O=C([O-])c1ccc(O)cc1,9.397940009
CC(=O)c1ccc(CC(C)C)cc1,9.521138084
COc1ccc(C(=O)[O-])cc1,5.054995862
O=C([O-])c1ccc([N+](=O)[O-])cc1,6.0
Cc1ccc(C(=O)[O-])cc1,9.255272505
O=C(O)c1cc(S(=O)(=O)O)ccc1O,9.079181246
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1,9.562292864
FC(F)(F)c1ccccc1,7.301029996
FC(F)(F)c1ccccc1,7.301029996
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1,9.399673721
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,10.30103
CC1=CC(=O)N=S(=O)([O-])O1,7.301029996
CC(=O)Nc1ccc(O)cc1,9.672097858
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,9.25925697
CC(=O)Nc1ccccc1,9.556302501
CC(=O)Nc1ccccc1,9.222969167
CC(=O)[O-],6.672097858
CC(=O)[O-],6.698970004
CC(=O)O,6.507855872
CC(=O)O,4.163985812
CC(C)O,5.301029996
CC(=O)c1ccccc1,8.491361694
CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1,9.478566496
C=CC(=O)[O-],8.041392685
C[C@H](N)C(=O)O,7.0
CCc1cccc(CC)c1N(COC)C(=O)CCl,9.822168079
C=CCO,9.176091259
CCNc1nc(NC(C)C)nc(SC)n1,9.612783857
CN(C)CCC=C1c2ccccc2CCc2ccccc21,9.681241237
Nc1ncn[nH]1,8.411619706
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,9.462397998
CC1(C)S[C@@H]2[C@H](NC(=O)C(N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,9.541579244
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,9.541579244
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,9.301029996
Nc1cc(S(=O)(=O)O)ccc1S(=O)(=O)O,9.255272505
COc1ccccc1,9.691961514
COc1ccccc1,9.69019608
COc1ccccc1,9.69019608
CC1=CCC2CC1C2(C)C,7.491361694
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,9.357934847
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,10.11394335
CC1=CC[C@H](C(C)(C)O)CC1,9.612783857
CCNc1nc(NC(C)C)nc(OC)n1,8.812913357
CCNc1nc(Cl)nc(NC(C)C)n1,9.146128036
CCNc1nc(Cl)nc(NC(C)C)n1,9.544068044
CCNc1nc(Cl)nc(NC(C)C)n1,9.653212514
CCNc1nc(Cl)nc(NC(C)C)n1,9.36361198
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,9.334453751
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,9.469822016
O=Cc1ccccc1,8.851258349
NC(=O)c1ccccc1,8.177150281
c1ccccc1,8.826074803
c1ccccc1,9.806179974
COc1ccccc1,9.380211242
c1ccccc1,9.190105621
O=C([O-])c1ccccc1,9.079181246
C=CC(=O)[O-],9.079181246
O=C(O)c1ccccc1,9.079181246
O=C(O)c1ccccc1,9.079181246
N#Cc1ccccc1,8.079181246
N#Cc1ccccc1,8.079181246
O=C(c1ccccc1)c1ccccc1,9.602059991
c1ccc2scnc2c1,9.51851394
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,9.136720567
CCN(CC)c1ccc([C+](c2ccccc2)c2ccc(N(CC)CC)cc2)cc1.O=S(=O)([O-])O,9.344392274
CC(=O)N=C1C=CC2=C(S(=O)(=O)[O-])C(NNc3cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c3)=CC(=O)C2=C1,9.133538908
Cn1c(=O)c2c(ncn2C)n(C)c1=O,9.378397901
NC(=O)N1c2ccccc2C=Cc2ccccc21,9.283301229
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],8.930378562
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,9.387389826
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,9.278753601
CC1=C(CO)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,9.290034611
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,9.447158031
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1,9.093421685
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1,9.222716471
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,9.607455023
C=CC(=C)Cl,9.255272505
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,9.322219295
CC(=O)[C@@H]1C[C@H](CC(=O)O)C1(C)C,7.204119983
CC1(C)CON(Cc2ccccc2Cl)C1=O,8.973127854
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,9.015704232
C/C=C/C(=O)O,8.886490725
O=c1[nH]c(=O)[nH]c(=O)[nH]1,7.278753601
OC1CCCC1,8.325639007
OC1CCCC1,8.447158031
C[C@H]1[C@@H](OS(=O)(=O)O)C[C@@H]2C[C@H]([C@H](O)c3cc(=O)[nH]c(=O)[nH]3)NC3=NC[C@H]1N32,9.653212514
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,9.71432976
CC(C)Nc1nc(N)nc(Cl)n1,8.982271233
CC(C)Nc1nc(N)nc(Cl)n1,8.982271233
Nc1nc(N)nc(Cl)n1,8.176091259
Nc1nc(N)nc(Cl)n1,8.176091259
CC(C)(C)Nc1nc(=O)nc(N)[nH]1,8.556302501
c1ncncn1,8.556302501
CC(C)(C)Nc1nc(N)nc(Cl)n1,8.556302501
CCNc1nc(N)nc(Cl)n1,9.301029996
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,9.278753601
CCCCOC(=O)c1ccccc1C(=O)OCCCC,8.079181246
N#CC(Cl)Cl,7.803457116
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,9.917883486
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,9.963787827
CCOCC,8.113943352
CCOCC,8.113943352
CCOCC,8.113943352
C=O,7.427946747
CCOC(=O)c1ccccc1C(=O)OCC,7.806179974
O=C(O)C(F)F,4.939519253
CSSC,8.579783597
COC(=O)CCC(=O)OC,7.249224202
Cc1ncc([N+](=O)[O-])n1C,9.51851394
C1COCCO1,7.204119983
CCCOCCC,8.342422681
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,9.666517981
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,9.713490543
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,8.517195898
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,9.73239376
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,9.164352856
CCCCCCCO,9.079181246
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,9.017033339
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,9.649334859
CC,6.643452676
CC,6.643452676
CCO,7.633468456
CCO,7.477121255
CCO,7.633468456
CCO,7.204119983
CCO,7.420682482
CCO,7.886490725
CCO,7.892094603
CCO,7.420682482
C#COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,9.478566496
CN(C)C(=O)Nc1ccccc1,9.662757832
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,8.120573931
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,9.662757832
Fc1ccccc1,8.991226076
C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,8.662757832
C=O,7.041392685
O=C[O-],8.230448921
O=C[O-],7.785329835
O=CO,7.71432976
O=CO,5.662757832
O=CO,5.73239376
O=C([O-])/C=C/C(=O)[O-],7.204119983
O=C([O-])c1cc(O)c(O)c(O)c1,8.962397998
O=C(O)c1cc(O)c(O)c(O)c1,9.299340549
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,9.477121255
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,8.85308953
C[C@H]1CCC[C@@]2(C)CCCC[C@]12O,8.880813592
CC(C)=CCC/C(C)=C/CO,9.167317335
NCC(=O)O,6.954242509
O=C([O-])CO,7.204119983
O=C(O)CO,7.146128036
CC(C)(C)O,7.371067862
O=C(O)CNCP(=O)(O)O,8.204119983
N[C@@H](Cc1c[nH]cn1)C(=O)O,9.397940009
O=CC=O,7.380211242
O=C([O-])CC(O)C(=O)O,6.929418926
CC(C)Cc1ccc(C(C)C(=O)O)cc1,10.61909333
CC(C)Cc1ccc(C(C)C(=O)O)cc1,9.579783597
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,8.477121255
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,8.796574333
O=C(O)CI,9.531478917
Ic1ccccc1,7.954242509
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,8.556302501
CC1(C)C2CCC1(C)C(O)C2,9.055967256
CC(C)c1ccc(NC(=O)N(C)C)cc1,9.462397998
CC(O)C(=O)[O-],7.204119983
CC(O)C(=O)O,7.176091259
CC(O)C(=O)O,7.0
CCCCO,7.903089987
CO,7.908485019
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,9.113943352
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,9.707570176
CCCCCCCCO,8.579783597
CCCCCO,8.113943352
[2H]OC([2H])([2H])C([2H])([2H])[2H],7.770852012
O=C(O)CC(O)C(=O)O,6.995635195
O=C([O-])CC(=O)[O-],6.707570176
O=C(O)CC(=O)O,6.230448921
O=C(O)CC(=O)O,6.431363764
Cc1cccc(O)c1,9.579783597
Cc1cc(C)cc(C)c1,9.113943352
C=C(C)C#N,8.579783597
CC(=O)O,7.301029996
CO,7.0
CO,6.944482672
CO,7.301029996
CO,6.505149978
CO,7.228730073
CO,6.880813592
CO,7.397940009
CO,7.228730073
c1ccccc1,6.505149978
CO,7.228730073
N[C@@H](Cc1ccc(O)cc1)C(=O)O,6.991226076
[2H]OC([2H])([2H])[2H],7.10083509
C=COC(C)=O,7.041392685
COC(=O)c1ccccc1N,9.748188027
C=C(C)C(=O)OC,7.0
COC(=O)c1ccccc1O,8.963787827
COCCc1ccc(OCC(O)CNC(C)C)cc1,9.7084209
CC(C)NCC(O)COc1ccc(CCO)cc1,10.0
O=Cc1cccc(O)c1,9.62324929
N#CCCl,7.873901598
O=C(O)CF,6.531478917
CON(C)C(=O)Nc1ccc(Cl)cc1,9.77815125
CN(C)C(=O)Nc1ccc(Cl)cc1,9.698970004
Cc1cccc(C(=O)[O-])c1,9.301029996
Cc1cccc(C(=O)O)c1,9.301029996
CC1(C)C2CC=C(C=O)C1C2,9.267171728
CCN(CC)C(=O)c1cccc(C)c1,9.278753601
CCN(CC)C(=O)c1cccc(C)c1,9.278753601
COc1ccc2cc(C(C)C(=O)O)ccc2c1,9.751279104
O=[N+]([O-])c1ccccc1,6.0
CNCCC=C1c2ccccc2CCc2ccccc21.[H+],10.30103
O=C([O-])c1ccccc1Br,8.939519253
O=C(O)c1ccccc1Br,8.939519253
Cc1ccccc1O,9.531478917
O=Cc1ccccc1O,9.792391689
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,9.530199698
Cc1ccccc1C(=O)[O-],9.146128036
Cc1ccccc1C(=O)O,9.146128036
O=C([O-])C(=O)[O-],7.113943352
O=C(O)C(=O)O,6.939519253
O=C(O)C(=O)O,6.041392685
C1CCOCC1,8.951823035
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,8.550228353
C1CCCOCC1,8.252853031
C1COC1,8.053078443
Oc1ccccc1,8.447158031
C1COCCO1,8.267171728
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)[C-]3C(=O)c4c([O-])cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,9.025305865
CC(=O)c1ccc(C(=O)[O-])cc1,8.301029996
CC(=O)c1ccc(C(=O)O)cc1,8.301029996
CC(=O)c1ccc(C(=O)O)cc1,8.301029996
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,8.079181246
O=C([O-])c1ccc(Br)cc1,9.0
O=C([O-])c1ccc(Cl)cc1,8.556302501
O=C(O)c1ccc(Cl)cc1,8.556302501
Cc1ccc(O)cc1,9.447158031
Cc1ccc(O)cc1,9.447158031
CC(C)c1ccc(S(=O)(=O)[O-])cc1,9.439332694
N#Cc1ccc(C(=O)[O-])cc1,7.51851394
N#Cc1ccc(C(=O)O)cc1,8.51851394
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,9.192170475
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,9.192170475
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],9.378397901
