SMILES,frag_list,LogBP
c1[nH]cc[n]1,[69.045],2.409933123
c1cc[n][nH]1,[69.045],2.271841607
c1[n]cco1,[70.029],1.841984805
Cc1[nH]cc[n]1,[83.06],2.426511261
Oc1cccc2ccc[n]c21,[117.058],2.426511261
CN1CCCC1=O,"[100.076, 58.029, 69.034]",2.305351369
O=NN1CCCC1,"[101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 55.054, 101.071, 59.024]",2.330413773
S=C1NCCN1,"[103.032, 60.056, 86.006, 103.032, 86.006, 76.022, 103.032, 86.006, 76.022, 103.032, 86.006, 76.022, 103.032, 86.006, 76.022, 103.032, 86.006, 59.99, 103.032, 86.006, 59.99, 103.032, 86.006, 59.99, 59.99, 86.006, 58.995, 59.99, 58.995, 86.006]",2.540554699
COCCOCCOC,"[103.075, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 135.102, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 135.102, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.101]",2.209515015
CCN(CC)N=O,"[103.087, 75.055, 57.045, 103.087, 75.055, 57.045, 103.087, 75.055, 57.045, 75.055, 103.087, 57.045, 75.055, 103.087, 57.045, 75.055, 103.087, 57.045]",2.247727833
O=C(c1ccccc1)c1ccccc1,"[105.033, 183.081, 77.039, 105.034, 183.081, 77.039]",2.484869033
Cc1ccccc1NC(C)=O,"[108.081, 150.091, 93.057]",2.471291711
NCc1ccccc1,"[108.081, 91.054, 67.054]",2.267171728
Cc1cccc(C)[n]1,"[108.081, 91.054, 67.054]",2.158663981
Nc1ccc(O)cc1,"[110.06, 92.049, 65.039]",2.45331834
Nc1ccc(F)cc1,"[112.056, 92.049, 123.035]",2.260071388
CN1C=CNC1=S,"[115.033, 57.057, 56.049, 115.033, 115.032, 115.033, 116.037, 117.029]",2.447158031
O=NN1CCCCC1,"[115.087, 69.07, 70.065, 115.087, 69.07, 70.065, 115.087, 69.07, 70.065, 115.087, 69.07, 70.065, 69.07, 115.087, 53.002, 69.07, 115.087, 53.002]",2.340444115
