SMILES,frag_list,Kow
[O-][N+](=O)c1cc2C(=NCC(=O)Nc2cc1)c1ccccc1,"[282.088, 268.085, 236.095, 282.087, 282.087, 236.094, 268.084, 236.094, 282.087, 268.084, 236.094, 180.081, 207.092, 180.081, 207.092, 236.094, 180.081, 207.092, 190.065, 152.062, 180.081, 190.065, 152.062, 163.054, 169.065, 152.062, 169.065, 150.046]",2.25
[O-][N+](=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,"[274.999, 165.066, 305.01, 274.998, 305.009, 241.006, 274.998, 165.066, 241.006, 165.066, 257.996, 82.945, 165.066, 82.945, 257.996, 82.945, 165.066, 119.073, 82.945, 119.073, 118.065]",1.14
[O-][N+](=O)c1ccc(cc1)Oc1ccc(Cl)cc1Cl,"[283.988, 266.985, 237.994, 266.985, 283.988, 237.995, 266.985, 208.992, 202.018, 202.018, 208.992, 266.985, 202.018, 208.992, 173.015, 202.018, 139.054, 173.015]",4.64
[O-][N+](=O)c1ccc(cc1C(O)=O)Oc1ccc(cc1Cl)C(F)(F)F,"[343.993, 300.004, 222.977, 222.977, 300.003, 343.993, 222.977, 178.987, 300.003, 222.977, 178.987, 166.987, 178.987, 132.018, 222.977, 132.018, 178.987, 176.008]",3.7
[O-][N+](=O)c1ccc2ccc3cccc4ccc1c2c34,"[231.068, 202.078, 218.073]",5.06
[O-][n+]1ccc(c2ccccc12)[N+]([O-])=O,"[191.045, 145.052, 161.047, 161.047, 145.052, 104.05, 161.048, 145.053, 174.044]",1.09
C[C@]1(O)[C@H]2C[C@H]3[C@@H](C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c1cccc2O)N(C)C,"[427.15, 410.123, 445.161, 410.123, 154.05, 337.07]",-1.3
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"[343.19, 325.18, 307.169, 343.19, 325.179, 307.169, 147.08, 343.19, 289.158, 147.08, 171.081, 173.095, 147.081, 121.065, 171.08, 147.08, 121.064, 171.081, 121.064, 343.19, 325.18, 307.17, 147.08, 343.19, 173.096, 147.081, 173.096, 171.08, 171.08, 147.081, 147.08, 121.065, 119.086, 121.065, 343.19, 325.18, 307.169, 163.112, 121.065, 145.101, 105.07, 121.064, 163.111, 343.19, 163.112, 325.18, 163.112, 343.19, 325.179]",1.62
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,"[359.188, 341.177, 360.191, 341.176, 147.081, 295.17, 147.081, 171.081, 237.128, 147.081, 171.081, 159.08, 147.081, 171.08, 159.081, 359.186, 341.175, 313.18, 91.054, 147.081, 171.081]",1.46
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,"[109.064, 119.085, 83.049, 109.064, 91.054, 105.07, 281.19, 299.2, 263.179, 281.19, 223.148, 263.179]",2.97
C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]12CCC(=O)O1,"[107.085, 97.065, 187.112, 107.085, 105.07, 91.054, 187.111, 169.101, 283.169, 187.112, 169.101, 283.169]",2.68
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,"[273.221, 273.221]",3.69
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,"[271.206, 253.195, 289.216, 253.195, 213.164, 271.206, 213.164, 197.132, 157.101, 213.164, 157.101, 145.101, 81.07, 91.054, 105.07, 91.054, 105.07, 81.07]",3.23
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,"[109.064, 97.064, 123.08, 109.064, 97.064, 123.08, 253.195, 271.205, 97.065, 253.195, 271.205, 97.065, 293.175, 293.174]",3.32
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O,"[109.064, 83.049, 197.132, 109.064, 83.049, 100.076, 197.132, 255.174, 237.163, 197.132, 255.174, 237.163]",4.01
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,"[271.169, 253.159, 199.112]",3.13
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO,"[347.225, 348.228, 329.213, 347.224, 329.213, 348.227, 121.065, 329.213, 171.118, 121.065, 145.102, 163.112, 121.065, 145.101, 131.086, 347.222, 329.211, 311.2, 329.211, 347.222, 121.065, 121.065, 97.065, 123.08, 121.065, 97.065, 105.07, 121.065, 105.07, 91.054, 91.054, 105.07, 79.054, 91.054, 79.054, 95.049, 91.054, 95.049, 115.054, 91.054, 115.054, 65.039]",1.94
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"[363.217, 327.196, 345.206, 121.065, 363.217, 327.196, 121.065, 97.065, 145.101, 121.065, 97.065, 105.07, 121.065, 105.07, 91.054, 91.054, 105.07, 121.065, 91.054, 128.062, 79.054, 91.054, 115.054, 128.062, 115.054, 91.054, 65.039]",1.61
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"[361.201, 343.19, 163.112, 361.201, 163.112, 343.191, 163.112, 121.065, 145.101, 163.112, 121.065, 105.07, 105.07, 121.065, 93.07, 91.054, 105.07, 79.054, 91.054, 79.054, 95.049, 91.054, 115.054, 95.049, 91.054, 115.054, 65.039, 163.112, 121.065, 145.101, 105.07, 121.064, 163.111, 343.19, 163.112, 325.18, 163.112, 343.19, 325.179]",1.47
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O,"[97.065, 109.064, 123.08, 97.064, 109.064, 123.08, 97.064, 269.19, 109.064, 97.065, 269.19, 251.179]",2.75
C[C@@H](N)[C@@H](O)c1ccccc1,"[134.095, 117.069, 115.053]",0.67
C[C@@H](O)[C@@H](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,"[126.128, 407.224, 127.131, 126.128, 126.128, 359.218, 389.211, 126.128, 359.218, 389.211, 126.128]",0.2
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,"[149.022, 393.208, 373.202, 149.022, 355.191, 167.035, 149.022, 237.126, 149.022, 171.079, 147.082, 149.023, 150.027, 373.201, 355.19, 337.18, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.081, 237.127, 171.081, 147.081, 121.065, 171.08, 147.081, 121.065, 119.085, 121.065, 91.054, 105.07, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.08, 237.127, 171.08, 147.08, 121.065, 171.081, 121.065, 147.08, 119.085, 121.065, 91.054, 128.062, 373.201, 355.19, 337.18]",1.885
C[C@H](Cc1ccccc1)N(C)CC#C,"[188.143, 189.146, 119.085, 188.143, 119.085, 141.05, 141.05, 119.086, 148.11, 115.055, 119.086, 188.143, 91.054, 119.086, 91.054, 188.143, 91.054, 119.086, 70.065, 91.054, 70.065, 119.086, 91.054, 70.065, 65.039, 91.054, 65.039, 70.065, 91.054, 65.039, 63.023, 91.054, 65.039, 63.023, 65.039, 91.054, 63.023]",2.9
C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,"[116.071, 70.065, 75.026]",0.34
C[C@H](N[C@@H](CCc1ccccc1)C(=O)OCC)C(=O)N1CCC[C@H]1C(O)=O,"[377.207, 234.149, 117.07]",0.07
