SMILES,frag_list,LogWS
Oc1cccc2ccc[n]c21,[117.058],2.745074792
CN1CCCC1=O,"[100.076, 58.029, 69.034]",6
O=NN1CCCC1,"[101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 55.054, 101.071, 59.024]",6
S=C1NCCN1,"[103.032, 60.056, 86.006, 103.032, 86.006, 76.022, 103.032, 86.006, 76.022, 103.032, 86.006, 76.022, 103.032, 86.006, 76.022, 103.032, 86.006, 59.99, 103.032, 86.006, 59.99, 103.032, 86.006, 59.99, 59.99, 86.006, 58.995, 59.99, 58.995, 86.006]",4.301029996
COCCOCCOC,"[103.075, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 135.102, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 135.102, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.101]",6
CCN(CC)N=O,"[103.087, 75.055, 57.045, 103.087, 75.055, 57.045, 103.087, 75.055, 57.045, 75.055, 103.087, 57.045, 75.055, 103.087, 57.045, 75.055, 103.087, 57.045]",5.025305865
O=C(c1ccccc1)c1ccccc1,"[105.033, 183.081, 77.039, 105.034, 183.081, 77.039]",2.136720567
CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,"[107.049, 199.075, 135.08, 107.049, 181.065, 121.065, 135.08, 199.075, 251.143, 135.08, 199.075, 251.143]",1.079181246
NCc1ccccc1,"[108.081, 91.054, 67.054]",6
Cc1cccc(C)[n]1,"[108.081, 91.054, 67.054]",5.477121255
CNC(=O)Oc1cccc2OC(C)(C)Oc21,"[109.028, 167.07, 59.049, 109.028, 81.033, 81.033, 109.028, 167.07, 109.028, 193.049, 167.07, 109.028, 193.05]",2.414973348
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,"[109.064, 97.064, 123.08, 109.064, 97.064, 123.08, 253.195, 271.205, 97.065, 253.195, 271.205, 97.065, 293.175, 293.174]",1.369215857
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,"[109.064, 119.085, 83.049, 109.064, 91.054, 105.07, 281.19, 299.2, 263.179, 281.19, 223.148, 263.179]",0.847757688
Nc1ccc(O)cc1,"[110.06, 92.049, 65.039]",4.204119983
Nc1ccccc1O,"[110.06, 92.049, 65.039]",4.301029996
CN(C)C1C(=O)N(c2ccccc2)N(C)C=1C,"[113.108, 111.092, 187.087, 232.145, 113.107, 111.092, 113.107, 232.145, 111.092, 113.107, 97.076, 111.092, 97.076, 58.065, 111.092, 97.076, 58.065, 56.05, 97.076, 58.065, 56.05, 232.145, 113.107, 111.092, 113.107, 232.145, 111.092, 113.107, 97.076, 111.092, 97.076, 58.065, 98.084, 97.076, 58.065, 56.05, 97.076, 58.065, 56.05, 113.108, 111.092, 187.087, 97.076, 113.107, 98.084, 97.076, 70.065, 72.081, 113.107, 187.087, 111.092, 113.107, 187.087, 111.092]",4.7355989
CN1CC(=O)NC1=N,"[114.066, 86.071, 58.065, 98.072, 98.072, 58.065, 57.033, 58.065, 57.033, 98.072]",4.903632516
CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,"[114.961, 197.927, 349.934, 321.902, 293.871, 197.928, 349.934, 321.903, 197.928, 197.927, 114.961, 96.951, 197.928, 114.961, 96.951, 197.928, 114.961, 96.951, 114.961, 197.927, 96.951, 114.961, 96.951, 106.945, 349.934, 321.902, 197.927, 197.928, 114.961, 96.951, 197.928, 114.961, 96.951, 197.928, 114.961, 96.951, 114.961, 197.927, 96.951, 114.961, 96.951, 106.945, 321.902, 293.871, 197.928]",0.049218023
CCOP(=S)(OCC)SCN1N=Nc2ccccc2C1=O,"[114.961, 137.006, 132.044, 132.044, 260.981, 232.949, 132.044, 114.961, 137.006, 114.961, 137.006, 132.044, 114.961, 137.006, 95.049, 114.961, 95.049, 109.011, 114.962, 109.011, 95.049, 114.962, 51.023, 64.979, 51.023, 64.979, 114.962, 51.023, 50.015, 64.979]",1.021189299
O=NN1CCCCC1,"[115.087, 69.07, 70.065, 115.087, 69.07, 70.065, 115.087, 69.07, 70.065, 115.087, 69.07, 70.065, 69.07, 115.087, 53.002, 69.07, 115.087, 53.002]",4.883661435
O=NN1CCOCC1,"[117.066, 87.068, 59.049, 117.066, 87.068, 86.06, 117.066, 87.068, 86.06, 117.066, 87.068, 86.06, 117.066, 86.06, 87.068, 86.06, 117.066, 87.068, 86.06, 57.057, 117.066, 117.066, 86.06, 87.068, 117.066, 86.061, 87.068, 87.068, 86.06, 57.057, 87.068, 86.06, 57.057]",6
Oc1cccc2ccccc21,"[117.07, 155.06, 117.07, 155.06, 145.065]",2.937517892
c1[n][nH]c2ccccc21,"[119.06, 92.049, 65.039]",2.916980047
Nc1ccccc1C(O)=O,"[120.044, 92.049, 138.055, 120.044, 92.049, 138.055]",3.544068044
c1cccc2[nH][n][n]c21,"[120.055, 121.058, 65.038, 120.055, 65.038, 92.049, 120.056, 65.039, 92.049, 120.056, 92.049, 65.039, 120.056, 92.049, 65.038, 120.056, 120.056, 65.039, 92.049, 120.056, 92.049, 65.038, 120.056, 92.049, 65.038, 120.056, 65.038, 92.049, 120.056, 65.039, 92.049, 120.056, 92.05, 120.056, 65.038, 92.05, 120.056, 65.038, 92.049, 120.055, 92.049, 65.038, 120.055, 65.038, 92.049, 120.055, 65.039, 92.049, 120.056, 92.049, 120.055, 65.038, 92.049, 65.038, 120.055, 92.049, 65.038, 39.022, 51.022, 120.056, 92.05, 120.056, 92.05, 120.056, 92.05, 65.039, 92.05, 65.039, 92.049, 120.055, 92.049, 65.038, 120.055]",4.29666519
