SMILES,frag_list,MP
CN1C(=O)CN=C(c2cc(Cl)ccc12)C1CCCCC=1,"[289.11, 289.11, 254.141, 253.133, 289.11, 253.133, 254.141, 225.102, 253.133, 81.07, 225.102, 197.107, 81.07, 197.107, 225.102, 79.054]",144
COC(=O)c1cccc2ccccc21,"[187.075, 144.057, 159.08]",59.5
[O-][N+](=O)c1ccc(cc1C(O)=O)Oc1ccc(cc1Cl)C(F)(F)F,"[343.993, 300.004, 222.977, 222.977, 300.003, 343.993, 222.977, 178.987, 300.003, 222.977, 178.987, 166.987, 178.987, 132.018, 222.977, 132.018, 178.987, 176.008]",150
Nc1[n]c[nH][n]1,"[85.051, 57.045, 58.04]",159
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(O)=O,"[120.08, 180.101, 200.07]",246.5
CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,"[195.088, 138.066, 110.071, 138.066, 195.088, 110.071, 195.088, 138.066, 195.088, 138.066, 195.088, 138.066, 110.071, 138.066, 195.088, 110.071, 138.066, 110.071, 195.087, 138.066, 110.071, 123.043, 195.088, 195.088, 138.066, 195.088, 138.066, 110.071, 138.066, 195.088, 110.071, 138.066, 110.071, 195.088, 138.066, 110.071, 123.043, 138.066, 195.087, 110.071, 138.066, 195.088, 110.071, 138.066, 110.071, 83.061, 138.066, 195.088, 110.071, 138.066, 110.071, 177.017, 138.066, 195.088, 110.071, 138.066, 195.088, 151.098]",238
CN(C)C(=O)Nc1ccc(Cl)cc1,"[72.044, 199.064, 199.063, 72.044, 199.064, 72.044, 154.006, 72.044, 199.063, 126.01, 72.044, 126.01, 154.005, 72.044, 126.01, 154.005, 72.044, 126.01, 98.999, 199.063, 72.044, 199.063, 72.044, 154.005, 72.044, 199.063, 126.01, 72.044, 126.01, 154.005, 72.044, 126.01, 99.0, 72.044, 126.01, 99.0, 72.044, 199.063]",170.5
CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,"[233.024, 235.021, 187.965, 159.97, 161.967, 187.965, 159.97, 161.967, 132.96, 132.959, 125.001, 134.957, 72.044, 233.024, 159.972, 72.044, 233.024, 72.044, 233.024, 72.044, 187.966, 72.044, 233.024, 159.971, 72.044, 159.971, 187.966, 72.044, 159.971, 132.961, 72.044, 159.971, 132.961, 233.024, 72.044, 233.024, 72.044, 187.966, 72.044, 233.024, 187.966, 72.044, 159.971, 187.966, 72.044, 159.971, 132.961, 72.044, 159.971, 132.961, 72.044, 187.966]",158
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O,"[109.064, 83.049, 197.132, 109.064, 83.049, 100.076, 197.132, 255.174, 237.163, 197.132, 255.174, 237.163]",200
Cc1cc(OCCCC(C)(C)C(O)=O)c(C)cc1,"[129.091, 83.085, 123.08, 129.091, 83.085, 123.08, 83.085, 129.091, 123.08, 83.085, 55.054, 73.065, 55.054, 83.085, 73.065, 55.054, 59.049, 73.065]",62
C1COCCN1Sc1[n]c2ccccc2[s]1,"[253.047, 86.06, 87.068]",85
c1[n]c(c[s]1)-c1[nH]c2ccccc2[n]1,"[202.045, 175.033, 131.061, 175.032, 131.06, 202.043, 131.06, 175.032, 143.06, 202.043, 175.032, 131.06, 202.043, 175.033, 65.039, 202.043, 175.033, 65.038, 202.043, 175.032, 131.06, 202.043, 175.032, 131.06, 175.032, 202.043, 131.06, 175.032, 131.06, 202.043, 202.043, 175.032, 158.071, 175.032, 202.043, 131.06, 202.043, 175.032, 158.071, 175.032, 158.071, 131.06]",300
NC(=O)c1ccccc1,"[122.06, 105.034, 79.054]",129.1
CC(=O)c1cccc(N)c1,"[136.076, 94.065, 91.054]",98.5
O=C(c1ccccc1)c1ccccc1,"[105.033, 183.081, 77.039, 105.034, 183.081, 77.039]",47.8
O=S(c1ccccc1)c1ccccc1,"[203.052, 186.05, 125.005]",71.2
CCCSc1cc2[n]c(NC(=O)OC)[nH]c2cc1,"[234.071, 266.097, 191.016, 191.015, 192.022, 159.042, 191.014, 159.042, 163.019, 234.069, 266.096, 191.015, 266.096, 234.07, 234.07, 266.096, 191.014, 234.07, 192.023, 191.015, 234.07, 191.015, 192.023, 191.015, 159.043, 192.023, 191.015, 159.043, 163.02, 159.043, 131.048, 136.009, 104.037, 77.026, 92.037, 77.026, 92.037, 76.018]",209
Cc1ccc(cc1)-c1cc([n][n]1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F,"[382.083, 362.077, 303.11]",158
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,"[285.185, 199.148, 303.197, 199.144, 173.13, 243.171, 199.148, 173.132, 225.165, 199.148, 173.133, 225.163, 143.084, 173.132, 199.147, 199.148, 285.185, 243.174, 199.148, 225.163, 173.132, 199.148, 173.132, 143.085, 143.085, 199.148, 173.132, 143.085, 131.085, 105.07, 143.085, 128.062, 105.07]",136.5
CC(C)NCC(O)c1ccc(cc1)NS(C)(=O)=O,"[255.116, 176.13, 213.07, 255.117, 273.127, 213.069, 255.116, 213.069, 176.131, 213.069, 133.076, 255.116, 133.076, 134.084, 213.069, 133.076, 106.065, 134.084, 133.076, 106.065, 107.073, 255.116, 273.127, 213.069, 255.116, 213.069, 176.131, 213.069, 133.076, 255.116, 133.076, 134.084, 213.069, 133.076, 106.065, 134.084, 133.076, 106.065, 107.073, 255.116, 213.069, 176.13, 255.117, 213.069, 273.127, 213.07, 133.076, 255.117, 133.076, 106.065, 107.073]",206.75
Cc1cc[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1,"[156.012, 190.029, 265.077]",236
COc1ccc(cc1C(=O)NCCN(CC)CC)S(C)(=O)=O,"[329.153, 256.064, 74.096, 256.064, 329.153, 74.096, 256.064, 213.022, 212.037, 256.064, 213.021, 212.038, 213.021, 212.037, 133.052, 213.021, 133.052, 134.036]",124
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,"[199.017, 199.017, 199.017, 135.055, 120.045, 199.017, 135.055, 120.044, 107.06, 135.055, 120.044, 107.06, 120.044, 92.049, 107.06, 80.049, 120.044, 199.017, 199.017, 120.044, 199.017, 135.055, 107.06, 107.06, 120.044, 135.055, 107.06, 120.044, 80.049, 107.06, 80.049, 120.044, 199.017]",138
COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC,"[330.91, 98.984, 298.883, 98.984, 298.884, 330.91, 98.984, 298.884, 270.888, 98.984, 220.896, 270.888, 98.984, 220.896, 164.906, 98.984, 164.906, 220.896, 98.984, 164.906, 129.937, 98.984, 129.937, 164.906, 98.984, 129.937, 141.937]",155
Cc1cc([n]c([n]1)N(CC)CC)OP(=S)(OC)OC,"[306.103, 164.118, 108.056, 108.055, 164.118, 95.06, 108.055, 124.982, 95.06, 278.072, 164.118, 274.077, 278.072, 164.118, 274.077, 169.079, 153.102, 96.951, 100.022, 169.079, 96.951, 169.079, 153.102, 100.021]",15
Nc1cccc[n]1,"[95.06, 78.034, 67.054]",57.5
[O-][N+](=Nc1ccccc1)c1ccccc1,"[69.07, 92.049, 83.085, 69.07, 92.049, 83.085, 69.07, 92.049, 83.086, 69.07, 95.049, 92.049, 69.07, 95.049, 92.049, 69.07, 95.049, 55.054]",36
C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]2(C)CCC(=O)C=C21,"[387.253, 123.08, 327.232]",206.5
NC(=O)c1ccccc1[N+]([O-])=O,"[150.019, 78.034, 51.023]",176.6
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1,"[70.04, 99.081, 227.083]",124
OC(=O)COc1[n]c(Cl)c(Cl)cc1Cl,"[237.923, 209.927, 197.927, 255.933, 237.922, 209.927, 209.928, 197.927, 237.922, 209.928, 181.933, 197.928, 145.956, 163.966, 181.933, 145.956, 179.917, 163.966, 179.917, 145.956, 109.979, 255.933, 237.922, 209.927, 209.927, 197.927, 237.922, 209.927, 181.932, 197.927, 145.956, 163.966, 181.933, 179.917, 145.956, 163.966, 179.917, 145.956, 109.979, 237.922, 209.927, 197.927]",149
COC(=O)/C(=C/OC)/c1ccccc1Oc1cc([n]c[n]1)Oc1ccccc1C#N,"[372.098, 404.124, 373.101, 372.098, 373.101, 344.103, 344.103, 372.098, 329.079, 329.079, 344.103, 330.082, 329.079, 183.054, 172.038, 372.098, 344.103, 329.079, 372.098, 372.097, 404.123, 372.098, 344.103, 316.107, 329.079, 344.103, 372.097, 329.079, 183.055, 328.071, 172.039, 156.044, 200.034, 172.039, 156.044, 130.04, 372.098, 404.123, 172.04, 372.098, 344.103, 316.108, 329.079, 344.103, 372.098, 329.079, 183.055, 328.071, 172.039, 156.044, 200.034, 172.039, 156.044, 130.04, 372.098]",116
