SMILES,frag_list,LogVP
c1[n]cco1,[70.029],2.1206
Oc1cccc2ccc[n]c21,[117.058],-2.7799
CN1CCCC1=O,"[100.076, 58.029, 69.034]",-0.4622
CCN(CC)C(=O)SCc1ccccc1Cl,"[100.076, 125.015, 72.044, 258.072, 100.076, 125.015, 125.015, 258.072, 100.076, 125.015, 100.076, 72.044, 125.015, 72.044, 100.076, 125.015, 89.039, 72.044, 125.015, 89.039, 99.0, 258.072, 100.076, 125.015, 125.015, 258.072, 100.076, 125.015, 100.076, 72.044, 125.015, 72.044, 100.076, 125.015, 89.039, 72.044, 125.015, 89.039, 99.0, 100.076, 125.015, 72.044]",-4.0315
O=NN1CCCC1,"[101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 101.071, 55.054, 59.024, 55.054, 101.071, 59.024]",-1.2218
CCCCCCCCN1SC=CC1=O,"[102.001, 214.126, 71.086, 102.001, 71.085, 214.126, 102.001, 71.085, 214.126, 102.001, 71.085, 102.001, 71.085, 57.07, 102.001, 57.07, 71.085, 102.001, 57.07, 71.085, 102.001, 57.07, 83.99, 214.126, 102.001, 71.085, 214.126, 102.001, 71.085, 102.001, 214.126, 71.085, 102.001, 57.07, 71.085, 102.001, 57.07, 71.085, 102.001, 57.07, 83.99, 102.001, 71.085]",-4.4342
COCCOCCOC,"[103.075, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 135.102, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 135.102, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.101]",0.4713
CCN(CC)N=O,"[103.087, 75.055, 57.045, 103.087, 75.055, 57.045, 103.087, 75.055, 57.045, 75.055, 103.087, 57.045, 75.055, 103.087, 57.045, 75.055, 103.087, 57.045]",-0.0655
O=C(c1ccccc1)c1ccccc1,"[105.033, 183.081, 77.039, 105.034, 183.081, 77.039]",-2.7144
NCc1ccccc1,"[108.081, 91.054, 67.054]",-0.1851
Cc1cccc(C)[n]1,"[108.081, 91.054, 67.054]",0.7522
CNC(=O)Oc1cccc2OC(C)(C)Oc21,"[109.028, 167.07, 59.049, 109.028, 81.033, 81.033, 109.028, 167.07, 109.028, 193.049, 167.07, 109.028, 193.05]",-4.4622
Nc1ccc(O)cc1,"[110.06, 92.049, 65.039]",-4.3979
CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,"[114.961, 197.927, 349.934, 321.902, 293.871, 197.928, 349.934, 321.903, 197.928, 197.927, 114.961, 96.951, 197.928, 114.961, 96.951, 197.928, 114.961, 96.951, 114.961, 197.927, 96.951, 114.961, 96.951, 106.945, 349.934, 321.902, 197.927, 197.928, 114.961, 96.951, 197.928, 114.961, 96.951, 197.928, 114.961, 96.951, 114.961, 197.927, 96.951, 114.961, 96.951, 106.945, 321.902, 293.871, 197.928]",-4.6936
CCOP(=S)(OCC)SCN1N=Nc2ccccc2C1=O,"[114.961, 137.006, 132.044, 132.044, 260.981, 232.949, 132.044, 114.961, 137.006, 114.961, 137.006, 132.044, 114.961, 137.006, 95.049, 114.961, 95.049, 109.011, 114.962, 109.011, 95.049, 114.962, 51.023, 64.979, 51.023, 64.979, 114.962, 51.023, 50.015, 64.979]",-5.6198
Oc1cccc2ccccc21,"[117.07, 155.06, 117.07, 155.06, 145.065]",-3.5622
CC(N)Cc1ccccc1,"[119.086, 136.112, 120.089, 119.085, 119.086, 91.054, 136.112, 119.086, 136.112, 91.054, 91.054, 119.086, 136.112, 91.054, 119.085, 136.112, 91.054, 119.085, 65.038, 91.054, 65.038, 91.054, 65.039, 119.086, 136.112, 91.054, 91.054, 119.086, 136.112, 91.054, 119.086, 136.112, 91.054, 119.086, 65.039, 91.054, 119.086, 65.039, 91.054, 65.039, 119.086, 119.086, 91.054, 136.112]",-0.6198
Oc1ccccc1C(O)=O,"[121.028, 139.039, 69.034, 121.028, 139.039, 69.034, 121.028, 139.039, 69.034, 121.028, 121.04, 65.039, 121.028, 65.039, 121.04, 65.039, 121.028, 121.04, 65.039, 121.04, 121.028, 65.039, 53.002, 51.023, 65.039, 53.002, 51.023]",-4.0862
CCOC1Oc2ccc(cc2C1(C)C)OS(C)(=O)=O,"[121.065, 161.06, 122.068, 259.064, 241.053, 121.065, 259.064, 287.095, 121.065, 121.065, 259.064, 161.06, 121.065, 161.06, 162.068, 121.065, 161.06, 133.065, 121.065, 105.07, 133.065, 105.07, 103.054, 91.054, 259.064, 287.095, 121.065, 121.065, 259.064, 161.06, 121.065, 161.06, 162.068, 121.065, 161.06, 133.065, 121.065, 105.07, 133.065, 105.07, 103.054, 91.054, 259.064, 241.053, 121.065, 121.065, 161.06, 133.065, 105.07, 121.065, 103.054, 259.064, 241.053, 121.065, 259.064, 121.065, 241.053]",-5.3098
CNC(=O)Oc1cc(C)c(SC)c(C)c1,"[121.065, 169.068, 122.073, 169.068, 121.065, 122.073, 169.068, 121.065, 226.09, 169.068, 121.065, 122.073, 121.065, 169.068, 122.073, 121.065, 122.073, 93.07, 121.065, 122.073, 93.07, 121.065, 107.049, 122.073, 169.068, 121.065, 226.09, 169.068, 121.065, 122.073, 121.065, 169.068, 122.073, 121.065, 122.073, 93.07, 121.065, 122.073, 93.07, 121.065, 107.049, 122.073, 169.068, 121.065, 122.072, 121.065, 122.073, 91.054, 121.065, 122.073, 91.054, 169.068, 121.065, 148.076, 169.068, 121.065, 148.076]",-6.5686
Cc1cccc(C)c1N,"[122.096, 105.07, 107.073, 122.096, 105.07, 107.073, 105.07, 79.054, 77.039, 77.039, 51.023, 79.054, 122.097, 105.07, 107.073, 105.07, 122.097, 107.073, 122.097, 107.073, 105.07, 107.073, 105.07, 133.077]",-0.8861
Cc1cc(C)[n]c(C)c1,"[122.096, 79.054, 81.07]",0.2981
CC(C1CC1)C(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1,"[125.015, 138.995, 292.121, 70.04, 125.015, 70.04, 292.121, 125.015, 70.04, 125.015, 138.994, 70.04, 125.015, 138.994, 125.015, 70.04, 138.994, 125.015, 70.04, 89.039, 292.121, 70.04, 125.015, 70.04, 292.121, 125.015, 70.04, 125.015, 138.994, 70.04, 125.015, 138.994, 125.015, 70.04, 138.994, 125.015, 70.04, 89.039, 125.015, 138.995, 165.047, 70.04, 125.015, 138.994]",-6.5867
CC1(C)CON(Cc2ccccc2Cl)C1=O,"[125.015, 240.079, 128.071, 125.015, 128.071, 100.076, 240.079, 125.015, 128.07, 125.015, 240.079, 128.071, 125.015, 240.08, 89.039, 125.015, 89.039, 125.015, 89.038, 99.0, 125.015, 89.039, 99.0, 240.079, 125.015, 128.071, 125.015, 240.079, 128.071, 125.015, 240.079, 73.065, 125.015, 89.039, 99.0, 125.015, 89.039, 99.0, 125.015, 89.039, 99.0, 125.015, 128.071, 100.076, 125.015, 240.078, 89.038, 125.015, 89.038, 98.999, 125.015, 128.07, 240.078, 125.015, 128.07, 100.076]",-3.8416
CCSC(=O)N1CCCCCC1,"[126.091, 188.11, 83.085, 126.091, 188.11, 83.085, 126.091, 83.085, 55.054, 55.054, 126.091, 83.085, 55.054, 98.096, 83.085, 55.054, 98.097, 70.065, 55.054, 98.097, 70.065, 55.054, 53.039, 70.065, 55.054, 53.039, 56.013]",-2.2518
COP(=O)(OC1C2CC=CC2C=1Cl)OC,"[127.015, 125.015, 251.024, 127.015, 125.015, 89.039, 127.016, 125.015, 89.039, 127.015, 125.015, 89.039, 127.015, 89.039, 125.015, 127.016, 89.039, 99.0]",-2.8928
COP(=O)(OC=C(Cl)Cl)OC,"[127.015, 220.953, 78.994, 220.953, 127.015, 144.982, 127.015, 220.953, 144.982, 127.015, 78.994, 220.953, 127.016, 78.994, 113.0, 127.015, 78.994, 113.0, 127.015, 78.994, 113.0, 127.015, 109.005, 78.994, 127.015, 78.994, 109.005, 109.005, 144.982, 127.015, 144.982, 109.005, 127.015]",-1.8027
CCOC(=O)C(CC(=O)OCC)SP(=O)(OC)OC,"[127.039, 99.008, 142.993, 99.008, 127.039, 142.993, 99.008, 127.039, 142.993, 99.008, 71.013, 142.993, 99.008, 71.013, 142.993, 99.008, 71.013, 53.002, 71.013, 99.008, 53.002, 71.013, 53.002, 78.994, 53.002, 71.013, 78.994]",-5.0088
Nc1[n]c(N)[n]c(N)[n]1,"[127.073, 127.072, 127.073, 85.051, 60.056, 127.073, 85.051, 60.056, 127.073, 85.051, 68.024, 127.073, 85.051, 60.056, 127.073, 85.051, 68.024, 85.051, 127.073, 68.024, 85.051, 127.073, 68.024, 127.073, 85.051, 68.024, 85.051, 127.073, 43.029, 68.024, 43.029, 85.051]",-9.4449
Nc1ccc(Cl)cc1,"[128.026, 93.057, 139.006, 128.027, 93.058, 139.006, 93.058, 128.027, 139.006, 93.058, 128.026, 93.058]",-1.5686
CCNC(=O)NC(=O)/C(/C#N)=N/OC,"[128.046, 111.019, 58.029, 128.045, 111.019, 58.029, 128.045, 111.019, 83.024, 128.045, 111.019, 83.024, 83.024, 111.019, 128.046, 83.024, 111.019, 53.013, 83.024, 53.013, 111.019, 128.045, 111.019, 58.029, 128.045, 111.019, 83.024, 128.045, 111.019, 83.024, 83.024, 111.019, 128.045, 83.024, 111.019, 53.013, 83.024, 53.013, 111.019, 128.045, 111.019, 167.067]",-5.9469
Oc1ccc(Cl)cc1,"[129.01, 97.028, 85.028, 129.01, 69.034, 55.018, 129.01, 69.034, 94.041, 69.034, 129.01, 94.041, 69.034, 94.041, 65.039, 94.041, 65.039, 69.033]",-1.0506
CC(C)c1ccc(N)cc1,"[136.112, 94.065, 91.054, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.092, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.091, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 121.088, 136.113, 94.066, 91.055, 94.065, 136.113, 91.055, 136.113, 94.066, 121.089, 94.065, 121.089, 105.034]",-1.0785
CCP(=S)(OCC)Sc1ccccc1,"[137.018, 126.998, 108.987, 126.998, 108.987, 137.018, 126.998, 108.987, 80.956, 126.998, 108.987, 80.956, 126.998, 108.987, 80.956, 80.956, 62.945, 126.998]",-3.4711
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"[142.939, 199.001, 114.961, 96.951, 142.939, 114.961, 96.951, 114.961, 142.938, 215.032, 199.001, 322.976, 215.032, 199.001, 322.976]",-5.8239
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,"[142.993, 132.044, 260.981, 132.044, 142.993, 260.981, 142.993, 132.044, 104.049, 142.993, 132.044, 104.05, 142.993, 95.049, 105.034, 95.049, 105.045, 78.994, 95.049, 105.045, 77.039, 51.023, 95.049, 77.039, 51.023, 50.015, 95.049, 51.023, 50.015, 74.015]",-5.7959
COP(=O)(NC(C)=O)SC,"[142.993, 144.989, 143.995, 142.993, 124.982, 142.008, 142.993, 124.982, 142.009, 124.982, 142.992, 110.966, 124.982, 142.991]",-5.7696
Nc1cccc2ccccc21,"[144.081, 143.073, 155.06]",-2.3789
CCCOC(=O)NCCCN(C)C,"[144.102, 102.055, 147.113, 189.16, 144.102, 102.055, 189.16, 102.055, 144.102, 102.055, 189.16, 144.102, 102.055, 74.024, 144.102, 102.055, 74.024, 58.065, 102.055, 74.024, 58.065, 189.16, 144.102, 102.055, 189.16, 102.055, 144.102, 102.055, 189.16, 144.102, 102.055, 74.024, 144.102, 102.055, 74.024, 58.065, 102.055, 74.024, 58.065, 144.102, 102.055, 147.113]",-1.2612
