SMILES,LogP,frag_list,LogWS
O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],3.87,"[343.993, 300.004, 222.977, 222.977, 300.003, 343.993, 222.977, 178.987, 300.003, 222.977, 178.987, 166.987, 178.987, 132.018, 222.977, 132.018, 178.987, 176.008]",-5.63
NCC1(CC(=O)O)CCCCC1,-1.88,"[172.133, 154.122, 137.095, 154.122, 137.096, 172.132, 137.095, 154.121, 136.11, 154.123, 155.107, 172.133, 172.133, 154.123, 155.107, 172.133, 154.123, 137.096, 154.123, 172.133, 137.096, 154.123, 137.096, 119.085, 95.085, 154.123, 119.085, 95.086, 67.054, 91.054, 172.133, 154.123, 155.107, 172.133, 154.123, 137.096, 154.123, 172.133, 137.096, 154.123, 137.096, 119.086, 95.086, 154.123, 119.085, 95.086, 67.054, 91.054, 154.123, 155.107, 137.096, 154.123, 172.133, 137.096, 55.018, 137.096, 154.123, 67.054, 55.018, 55.054, 154.123, 137.096, 119.086, 95.086, 119.086, 91.054, 154.123, 155.107, 137.096, 154.123, 155.107, 137.096]",-1.6
NCC1(CC(=O)O)CCCCC1,-1.88,"[154.219, 137.096, 111.081, 95.086]",-1.6
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,-1.18,"[120.08, 180.101, 200.07]",-2.65
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.24,"[195.088, 138.066, 110.071, 138.066, 195.088, 110.071, 195.088, 138.066, 195.088, 138.066, 195.088, 138.066, 110.071, 138.066, 195.088, 110.071, 138.066, 110.071, 195.087, 138.066, 110.071, 123.043, 195.088, 195.088, 138.066, 195.088, 138.066, 110.071, 138.066, 195.088, 110.071, 138.066, 110.071, 195.088, 138.066, 110.071, 123.043, 138.066, 195.087, 110.071, 138.066, 195.088, 110.071, 138.066, 110.071, 83.061, 138.066, 195.088, 110.071, 138.066, 110.071, 177.017, 138.066, 195.088, 110.071, 138.066, 195.088, 151.098]",-1.25
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.57,"[109.064, 83.049, 197.132, 109.064, 83.049, 100.076, 197.132, 255.174, 237.163, 197.132, 255.174, 237.163]",-4.11
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.57,"[240.15, 225.042, 212.155]",-4.11
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,3.61,"[129.091, 83.085, 123.08, 129.091, 83.085, 123.08, 83.085, 129.091, 123.08, 83.085, 55.054, 73.065, 55.054, 83.085, 73.065, 55.054, 59.049, 73.065]",-3.95
S=c1[nH]cnc2nc[nH]c12,-0.13,"[119.034, 126.01, 153.021, 153.523, 154.521]",-2.19
Cc1cc(=O)oc2ccccc12,2.14,"[161.06, 133.065, 118.041]",-2.53
c1ccc2[nH]c(-c3cscn3)nc2c1,2.47,"[202.045, 175.033, 131.061, 175.032, 131.06, 202.043, 131.06, 175.032, 143.06, 202.043, 175.032, 131.06, 202.043, 175.033, 65.039, 202.043, 175.033, 65.038, 202.043, 175.032, 131.06, 202.043, 175.032, 131.06, 175.032, 202.043, 131.06, 175.032, 131.06, 202.043, 202.043, 175.032, 158.071, 175.032, 202.043, 131.06, 202.043, 175.032, 158.071, 175.032, 158.071, 131.06]",-3.16
O=[N+]([O-])c1ccc(O)cc1,1.93,"[54.01, 138.02, 139.023, 139.525]",-1.59
O=C(c1ccccc1)c1ccccc1,3.03,"[105.033, 183.081, 77.039, 105.034, 183.081, 77.039]",-3.66
CCCSc1ccc2[nH]/c(=N/C(=O)OC)[nH]c2c1,3.08,"[234.071, 266.097, 191.016, 191.015, 192.022, 159.042, 191.014, 159.042, 163.019, 234.069, 266.096, 191.015, 266.096, 234.07, 234.07, 266.096, 191.014, 234.07, 192.023, 191.015, 234.07, 191.015, 192.023, 191.015, 159.043, 192.023, 191.015, 159.043, 163.02, 159.043, 131.048, 136.009, 104.037, 77.026, 92.037, 77.026, 92.037, 76.018]",-3.31
